시도,시군구,읍면동,면적,인구수,인구밀도,공영주차장 수
충남,천안시 동남구,목천읍,63.11,23342,369.86214546030743,3
충남,천안시 동남구,풍세면,30.04,3949,131.45805592543277,0
충남,천안시 동남구,광덕면,80.4,4133,51.405472636815915,3
충남,천안시 동남구,북면,58.45,4291,73.41317365269461,3
충남,천안시 동남구,성남면,33.02,2945,89.18837068443366,1
충남,천안시 동남구,수신면,25.87,2161,83.53304986470815,1
충남,천안시 동남구,병천면,56.35,6194,109.9201419698314,6
충남,천안시 동남구,동면,43.26,1988,45.954692556634306,1
충남,천안시 동남구,중앙동,0.87,5057,5812.64367816092,6
충남,천안시 동남구,문성동,0.61,7947,13027.868852459016,2
충남,천안시 동남구,원성1동,7.31,8106,1108.891928864569,3
충남,천안시 동남구,원성2동,0.84,9190,10940.47619047619,0
충남,천안시 동남구,봉명동,1.58,17072,10805.06329113924,1
충남,천안시 동남구,일봉동,2.54,22101,8701.181102362205,2
충남,천안시 동남구,신방동,5.47,44000,8043.8756855575875,2
충남,천안시 동남구,청룡동,17.15,58032,3383.790087463557,3
충남,천안시 동남구,신안동,11.54,36183,3135.4419410745236,3
충남,천안시 서북구,성환읍,57.05,22873,400.9290096406661,2
충남,천안시 서북구,성거읍,31.48,20725,658.3545108005083,4
충남,천안시 서북구,직산읍,30.52,19490,638.5976408912189,1
충남,천안시 서북구,입장면,42.68,8097,189.71415182755388,1
충남,천안시 서북구,성정1동,1.41,17267,12246.099290780143,4
충남,천안시 서북구,성정2동,2.07,25498,12317.874396135267,4
충남,천안시 서북구,쌍용1동,0.87,13130,15091.954022988506,2
충남,천안시 서북구,쌍용2동,1.88,35568,18919.148936170215,2
충남,천안시 서북구,쌍용3동,1.54,17862,11598.701298701299,1
충남,천안시 서북구,백석동,4.5,39312,8736.0,1
충남,천안시 서북구,불당1동,2.3,32116,13963.478260869566,3
충남,천안시 서북구,불당2동,2.35,36939,15718.72340425532,1
충남,천안시 서북구,부성1동,12.12,50313,4151.237623762377,3
충남,천안시 서북구,부성2동,6.97,60078,8619.512195121952,3
충남,공주시,유구읍,101.46,6961,68.60831854918194,2
충남,공주시,이인면,62.93,3063,48.673128873351345,0
충남,공주시,탄천면,64.15,2788,43.46063912704598,1
충남,공주시,계룡면,84.03,5222,62.144472212305125,1
충남,공주시,반포면,60.06,4129,68.74791874791875,0
충남,공주시,의당면,51.31,4418,86.10407328006237,1
충남,공주시,정안면,108.89,4637,42.584259344292406,1
충남,공주시,우성면,79.56,4946,62.16691804927099,0
충남,공주시,사곡면,80.14,2773,34.60194659346144,1
충남,공주시,신풍면,80.48,3062,38.04671968190855,2
충남,공주시,중학동,1.46,4320,2958.904109589041,3
충남,공주시,웅진동,6.61,7675,1161.1195158850226,5
충남,공주시,금학동,29.99,5262,175.45848616205402,0
충남,공주시,옥룡동,20.42,7319,358.42311459353573,5
충남,공주시,신관동,9.1,19534,2146.5934065934066,4
충남,공주시,월송동,23.56,15995,678.9049235993209,0
충남,보령시,웅천읍,65.9,5807,88.11836115326251,6
충남,보령시,주포면,13.34,1574,117.99100449775112,0
충남,보령시,오천면,52.17,4610,88.36496070538624,0
충남,보령시,천북면,64.44,3277,50.85350713842334,2
충남,보령시,청소면,41.22,2449,59.412906356137796,0
충남,보령시,청라면,69.92,3576,51.1441647597254,0
충남,보령시,남포면,49.56,4837,97.59887005649718,1
충남,보령시,주산면,41.94,2267,54.05340963280878,0
충남,보령시,미산면,65.6,1660,25.30487804878049,0
충남,보령시,성주면,38.99,1999,51.26955629648628,0
충남,보령시,주교면,36.43,4959,136.12407356574252,0
충남,보령시,대천1동,5.3,13083,2468.490566037736,6
충남,보령시,대천2동,4.15,6251,1506.2650602409637,5
충남,보령시,대천3동,8.33,15739,1889.435774309724,1
충남,보령시,대천4동,7.51,17797,2369.7736351531294,1
충남,보령시,대천5동,22.07,5887,266.74218396012685,11
충남,아산시,염치읍,42.15,6051,143.55871886120997,0
충남,아산시,배방읍,49.57,86711,1749.2636675408512,8
충남,아산시,송악면,61.07,4089,66.95595218601605,0
충남,아산시,탕정면,24.23,45009,1857.5732562938506,0
충남,아산시,음봉면,59.14,20657,349.28982076428815,0
충남,아산시,둔포면,41.21,23285,565.0327590390682,0
충남,아산시,영인면,56.32,5384,95.5965909090909,0
충남,아산시,인주면,45.33,5795,127.84028237370396,0
충남,아산시,선장면,37.87,2921,77.13229469236863,0
충남,아산시,도고면,43.68,4267,97.68772893772893,0
충남,아산시,신창면,39.88,19243,482.5225677031093,0
충남,아산시,온양1동,1.43,8711,6091.608391608392,2
충남,아산시,온양2동,1.18,10100,8559.322033898305,8
충남,아산시,온양3동,6.3,39116,6208.888888888889,0
충남,아산시,온양4동,10.04,16929,1686.155378486056,2
충남,아산시,온양5동,12.63,20707,1639.5091053048297,0
충남,아산시,온양6동,10.75,26821,2494.9767441860463,0
충남,서산시,대산읍,106.51,13110,123.08703408130691,18
충남,서산시,인지면,35.51,7099,199.91551675584344,1
충남,서산시,부석면,123.94,5154,41.58463772793287,2
충남,서산시,팔봉면,51.35,3239,63.07692307692307,0
충남,서산시,지곡면,57.91,7965,137.5410119150406,1
충남,서산시,성연면,43.93,16488,375.32437969496925,10
충남,서산시,음암면,43.95,9140,207.9635949943117,5
충남,서산시,운산면,82.66,4907,59.36365835954513,1
충남,서산시,해미면,68.33,7056,103.2635738328699,4
충남,서산시,고북면,71.77,5919,82.4717848683294,2
충남,서산시,부춘동,9.43,18329,1943.6903499469777,26
충남,서산시,동문1동,7.47,17774,2379.384203480589,5
