id,name,lat,lon,road_address,jibun_address,category,source
private_0,천안역주차장,36.8123208138282,127.146822493854,충남 천안시 동남구 대흥로 239 천안역,충남 천안시 동남구 대흥동 57-1,민영주차장,천안시/민영
private_1,나이스파크 천안역 주차장,36.8089543324355,127.149732108027,충남 천안시 동남구 문화동 61-1,충남 천안시 동남구 문화동 61-1,민영주차장,천안시/민영
private_2,우리주차장,36.8012539009289,127.148427041568,충남 천안시 동남구 큰서릿말길 6,충남 천안시 동남구 사직동 212-8,민영주차장,천안시/민영
private_3,순천향대 천안병원 민영 주차장,36.8028196170577,127.138151387539,충남 천안시 동남구 순천향6길 31,충남 천안시 동남구 봉명동 216-8,민영주차장,천안시/민영
private_4,순천향대병원천안점 주차장,36.8028196170577,127.138151387539,충남 천안시 동남구 순천향6길 31 순천향대학교병원,충남 천안시 동남구 봉명동 216-8,민영주차장,천안시/민영
private_5,에이제이파크 순천향병원천안점,36.8015703703305,127.134964562752,충남 천안시 동남구 순천향4길 36,충남 천안시 동남구 봉명동 222-1,민영주차장,천안시/민영
private_6,이마트 천안점 주차장,36.7959246450724,127.127099784501,충남 천안시 서북구 충무로 187,충남 천안시 서북구 쌍용동 191,민영주차장,천안시/민영
private_7,파크존 천안이화병원 민영 주차장,36.794203836138,127.125186711953,충남 천안시 서북구 충무로 165,충남 천안시 서북구 쌍용동 494-4,민영주차장,천안시/민영
private_8,나이스파크 엘마트 천안신방점 주차장,36.7903535943896,127.127107611461,충남 천안시 동남구 수곡2길 17-11,충남 천안시 동남구 신방동 69-9,민영주차장,천안시/민영
private_9,아마노 홈플러스 천안신방점 주차장,36.7871438086204,127.120546125303,충남 천안시 동남구 신촌1길 23,충남 천안시 동남구 신방동 784-9,민영주차장,천안시/민영
private_10,천안세무서 민영 주차장,36.7846507745909,127.15529659621,충남 천안시 동남구 청수14로 80,충남 천안시 동남구 청당동 550,민영주차장,천안시/민영
