위도,경도,단속건수
36.84277193,127.1522109,3457
36.8386354,127.1281398,2988
36.77734021,127.1430046,2557
36.8278573,127.1412305,2534
36.81974487,127.1398734,2477
36.81737978,127.1085054,2403
36.83048409,127.1176632,2325
36.83859721,127.1180276,1726
36.82381762,127.111088,1493
36.80634092,127.1060957,1414
36.81730955,127.1602816,1285
36.83874652,127.1173967,1139
36.80403025,127.1305026,1003
36.80005887,127.152606,961
36.81974889,127.1151092,916
36.80293068,127.1497968,911
36.85986614,127.1512984,886
36.81224191,127.106724,847
36.81683431,127.1383921,792
36.81838598,127.1406564,769
36.82721022,127.1393128,756
36.81853352,127.1056462,751
36.82802008,127.104475,706
36.78334354,127.1536906,684
36.78444021,127.1603039,679
36.83844521,127.1222023,679
36.81912647,127.1100961,633
36.83033196,127.1362571,612
36.81762018,127.1587906,608
36.81680189,127.1402976,607
36.8107249,127.1098751,557
36.83982709,127.1298245,552
36.8041078,127.1340945,543
36.80577007,127.1394345,524
36.83174452,127.1416658,520
36.82969114,127.1407726,484
36.7925257,127.151093,478
36.81973608,127.1563392,477
36.81905108,127.1029186,466
36.82234437,127.1070901,461
36.8403315,127.1211381,455
36.83997334,127.1143765,454
36.82878694,127.1431395,433
36.83418452,127.1213089,432
36.81411046,127.135314,426
36.78393428,127.1554453,424
36.81003065,127.1453504,424
36.80538228,127.1350231,419
36.79301513,127.1226367,418
36.84882887,127.1081174,414
36.83534987,127.1142708,403
36.7830954,127.1560945,402
36.79195101,127.1589454,397
36.81910075,127.1133052,387
36.7751054,127.1337468,386
36.80744009,127.1445028,378
36.82785172,127.1412207,376
36.81151762,127.1069953,374
36.81778514,127.1594903,374
36.81614744,127.1376542,371
36.81930058,127.1028335,368
36.80694611,127.1103406,367
36.83556761,127.1105109,356
36.81753158,127.1593429,352
36.78430401,127.1536472,343
36.80363969,127.138019,315
36.80977979,127.1436392,314
36.83845351,127.1119399,312
36.83758473,127.114894,304
36.81938443,127.1097328,301
36.81341751,127.1043768,300
36.80088765,127.1284041,293
36.82185473,127.1440995,291
36.81099417,127.1502384,287
36.81193162,127.1399529,283
36.81479486,127.1081062,280
36.77279812,127.209602,277
36.81411183,127.1080911,275
36.8373966,127.114685,274
36.82167623,127.1243752,272
36.77752361,127.1517217,271
36.83189352,127.1303577,267
36.79734099,127.1249068,265
36.83231053,127.14172,260
36.7990741,127.1353661,259
36.82622277,127.1400175,259
36.87804376,127.1991662,259
36.817906,127.1414578,257
36.78591379,127.1224818,253
36.80680917,127.1055453,253
36.78530156,127.1577633,252
36.80369355,127.1118859,252
36.81846522,127.1585341,248
36.81577697,127.1060111,245
36.83092364,127.1218815,239
36.82886013,127.1235168,236
36.81149218,127.1092104,227
36.84185666,127.1240755,223
36.82256608,127.1402458,222
36.805063,127.1165418,217
36.84224025,127.1864,215
36.81652545,127.1397478,213
36.85860538,127.1168943,210
36.83753418,127.1114831,210
36.79651466,127.1322576,205
36.82431724,127.1136196,205
36.81695122,127.1406676,202
36.83301794,127.1395519,201
36.83381703,127.1344776,200
36.80673826,127.119273,200
36.80541707,127.1061257,197
36.81894827,127.1451544,197
36.78606913,127.1567379,197
36.822294,127.1066945,193
36.83277037,127.1435933,193
36.80719194,127.1141603,191
36.78326664,127.152876,189
36.79900683,127.1643034,187
36.7825523,127.1549188,185
36.78105848,127.1553655,185
36.81061594,127.1050133,183
36.80141983,127.1360381,182
36.8112637,127.1076818,179
36.80014136,127.1068988,176
36.82192558,127.1556645,175
36.80116037,127.1328015,175
36.79261814,127.1515293,175
36.81908351,127.1564634,174
36.79897138,127.1184699,173
36.79092805,127.132152,172
36.82848396,127.1584397,171
36.81762713,127.1088024,171
36.8040236,127.110377,170
36.81417973,127.1077377,168
36.80996581,127.1110333,168
36.81835907,127.164765,166
36.83702063,127.1158369,164
36.80999548,127.1030049,161
36.83592871,127.1358843,156
36.81694295,127.1601665,155
36.78249396,127.1536317,154
36.7896578,127.1199467,149
36.86655476,127.1234582,147
36.83009517,127.1414097,146
36.79387854,127.1235477,146
36.84042523,127.1270878,144
36.7665641,127.3025879,143
36.84022615,127.1191861,143
36.84147339,127.1208718,142
36.83540038,127.1137522,142
36.82876547,127.1386714,142
36.79391118,127.0989521,142
36.81746899,127.1378212,142
36.79606821,127.1269966,141
36.81505815,127.1429481,141
36.77355341,127.2165578,140
36.81615931,127.1363421,140
36.82265867,127.1601097,139
36.80114649,127.1387965,139
36.8173793,127.1602777,137
36.76131831,127.1781035,137
36.82254404,127.159648,136
36.79114655,127.1583673,135
36.80528647,127.1049372,135
36.82193187,127.1235972,135
36.78225734,127.1531961,134
36.81030176,127.1017498,133
36.83959538,127.1240366,132
36.84431791,127.1259066,132
36.80965769,127.1047088,131
36.83015195,127.1334491,130
36.84018949,127.1229783,128
36.78533627,127.156798,128
36.87875703,127.1504338,127
36.79946051,127.1211506,126
36.7800339,127.1515312,125
36.83582029,127.131487,124
36.87112811,127.1450885,124
36.81441951,127.139401,124
36.83364864,127.1314721,123
36.81873919,127.1392191,122
36.82817044,127.1376937,122
36.80142854,127.1608334,121
36.80501692,127.1539067,120
36.80715929,127.1583778,119
36.80887065,127.1499231,119
36.82656165,127.1219637,118
36.80762917,127.1494377,117
36.79837259,127.1179289,117
36.8329514,127.1452233,116
36.83639684,127.1216532,116
36.82143087,127.1625296,115
36.78378359,127.1545707,115
36.82944491,127.1421835,115
36.84269738,127.1371245,114
36.79317417,127.1283643,114
36.83035491,127.1470187,113
36.90114816,127.1332933,112
36.83635646,127.1339027,110
36.82661439,127.1428947,110
36.81034149,127.1052848,110
36.80234616,127.1407001,109
36.79045236,127.1531157,108
36.82919872,127.1464946,108
36.82109125,127.1196098,108
36.84234504,127.1061273,107
36.88901306,127.2130648,106
36.83555792,127.1055128,106
36.83683791,127.1118508,104
36.82996645,127.141515,103
36.81825077,127.1643668,101
36.77951972,127.1498288,101
36.81865834,127.1521811,100
36.81250531,127.1312163,98
36.82710457,127.1297095,98
36.81653088,127.1065664,98
36.82228681,127.1066641,97
36.80075934,127.1470776,96
36.79635121,127.1312668,95
36.80083713,127.138112,94
36.8144493,127.1407281,93
36.82616165,127.1111123,93
36.81704323,127.1613101,93
36.79109938,127.1391592,92
36.83165448,127.1092234,92
36.82093198,127.1582151,92
36.80915636,127.149084,91
36.83163487,127.1304732,91
36.83054568,127.1374483,91
36.81367375,127.1403948,91
36.81351856,127.1412517,90
36.79449528,127.159573,89
36.78495597,127.234685,89
36.82277474,127.1559708,89
36.81953965,127.1359479,89
36.79965631,127.1082667,88
36.86154439,127.1163691,88
36.81725418,127.1090776,87
36.79001731,127.1573232,87
36.69869723,127.110262,87
36.8139076,127.1054252,86
36.78710078,127.1315584,86
36.80590468,127.1342814,86
36.84055895,127.1299191,86
36.7971738,127.1530179,85
36.81402153,127.1347536,85
36.80945117,127.101682,85
36.79019922,127.1360015,85
36.83789222,127.1183524,84
36.82582434,127.1380568,84
36.784104,127.1529846,83
36.83604279,127.1225357,83
36.80093847,127.1593903,83
36.82695983,127.1429315,83
