기준연도,시군구명,남성인구수,여성인구수,외국인남성인구수,외국인여성인구수,세대수,총인구,키,공영주차장_시설수,인구1만명당_주차시설,세대1000가구당_주차시설,인구1만명당_주차시설_r,세대1000가구당_주차시설_r
2021,천안시 동남구,129399,125893,8176,6968,116963,255292,천안시동남구,40,1.5668332732713912,0.3419884920872413,1.567,0.342
2021,천안시 서북구,207213,195981,10261,9022,181024,403194,천안시서북구,32,0.7936626041062118,0.176772140710624,0.794,0.177
2021,공주시,51459,51686,1876,2295,51580,103145,공주시,26,2.5207232536720148,0.5040713454827452,2.521,0.504
2021,보령시,49933,48475,3308,1649,49419,98408,보령시,33,3.3533859035850746,0.6677593638074425,3.353,0.668
2021,아산시,168881,155699,18194,13513,145869,324580,아산시,20,0.616180910715386,0.13710932411958676,0.616,0.137
2021,서산시,92122,84523,4124,3879,81407,176645,서산시,128,7.246171700302868,1.572346358421266,7.246,1.572
2021,논산시,57147,57336,3471,3890,58048,114483,논산시,38,3.31927010997266,0.6546306504961411,3.319,0.655
2021,계룡시,21563,21768,218,288,17152,43331,계룡시,4,0.9231266298954559,0.23320895522388058,0.923,0.233
2021,당진시,88952,78140,6094,4230,79526,167092,당진시,9,0.5386254279079788,0.1131705354223776,0.539,0.113
2021,금산군,25466,25011,1768,2167,25893,50477,금산군,15,2.9716504546625195,0.5793071486502144,2.972,0.579
2021,부여군,31634,32140,1164,1396,33257,63774,부여군,34,5.331326245805501,1.0223411612592839,5.331,1.022
2021,서천군,25081,25664,1483,811,26646,50745,서천군,11,2.1677012513548135,0.4128199354499737,2.168,0.413
2021,청양군,15472,14968,598,767,16426,30440,청양군,12,3.9421813403416555,0.7305491294289541,3.942,0.731
2021,홍성군,49437,49887,2669,1925,46746,99324,홍성군,12,1.2081672103419114,0.2567064561673726,1.208,0.257
2021,예산군,38574,38227,2434,1690,39051,76801,예산군,15,1.9530995690160284,0.3841130828916033,1.953,0.384
2021,태안군,31033,30493,1559,939,32908,61526,태안군,9,1.4627962162337875,0.27348972894129087,1.463,0.273
